Pałac w Ciszycy,"50,805278","15,813333"
Pałac w Kozłówce,"51,459608","22,489422"
Kościół Wszystkich Świętych w Kórniku,"52,246944","17,090833"
Zamek w Kórniku,"52,243889","17,090556"
Ogród Krasińskich w Warszawie,"52,247778","21,001944"
Pocysterskie Opactwo w Krzeszowie,"50,734444","16,072222"
Krzyżtopór,"50,713889","21,310556"
Park Na Książęcem w Warszawie,"52,231389","21,027500"
Księży Młyn,"51,755833","19,481944"
Konkatedra św. Jana Ewangelisty w Kwidzynie,"53,735833","18,921389"
Zamek w Kwidzynie,"53,736128","18,921203"
Opactwo Cystersów w Lądzie,"52,206194","17,894833"
Zamek biskupów warmińskich w Lidzbarku Warmińskim,"54,125761","20,582856"
Kościół Narodzenia Najświętszej Marii Panny w Lubiniu,"51,966132","16,900780"
Dwór „Dom wdowy” w Łomnicy,"50,875992","15,809642"
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny i św. Mikołaja w Łowiczu,"52,107778","19,943333"
Łysa Góra (Góry Świętokrzyskie),"50,860278","21,046944"
Mariensztat,"52,246403","21,016925"
Meczet w Kruszynianach,"53,176389","23,813056"
Muzeum Papiernictwa w Dusznikach-Zdroju,"50,404497","16,395746"
Nikiszowiec,"50,244167","19,080556"
Nowe Miasto (Toruń),"53,011420","18,611640"
Nowe Miasto (Warszawa),"52,252800","21,008100"
Nowy cmentarz żydowski w Łodzi,"51,794444","19,485833"
Nowy Dwór w Kowarach,"50,803056","15,834722"
Opactwo Cystersów w Oliwie,"54,410716","18,558328"
Osiedle Stare Miasto (Zamość),"50,720556","23,258611"
Ostrów Lednicki,"52,527222","17,377778"
Most wiszący w Ozimku,"50,676389","18,212236"
Paczków,"50,466389","17,011389"
Pałac Izraela Poznańskiego,"51,779111","19,450822"
Pałac na Wodzie w Staniszowie,"50,861333","15,732319"
Pałac Paulinum w Jeleniej Górze,"50,891667","15,760833"
Pałac Schaffgotschów w Cieplicach,"50,865000","15,681944"
Pałac w Bukowcu,"50,824444","15,815000"
Pałac w Dąbrowicy,"50,896389","15,807222"
Pałac w Kowarach,"50,790833","15,838611"
Pałac w Łomnicy,"50,876667","15,808889"
Pałac w Miłkowie,"50,810278","15,761111"
Pałac w Mysłakowicach,"50,844722","15,779444"
Pałac w Nieborowie,"52,066556","20,070194"
Pałac w Rogalinie,"52,234581","16,929689"
Pałac w Sobieszowie,"50,846389","15,639167"
Pałac w Staniszowie,"50,844167","15,741667"
Pałac w Wojanowie,"50,875556","15,813889"
Pałac w Wojanowie-Bobrowie,"50,870000","15,830000"
Park Mużakowski,"51,547559","14,723229"
